,status,primary_color,secondary_color,name,full_color
137,shelter_or_rescue,Orange Tabby,,Mama Baby,Orange Tabby 
138,shelter_or_rescue,White,Grey Tabby,Sam,White Grey Tabby
139,shelter_or_rescue,White,Black,Mia,White Black
140,shelter_or_rescue,White,Brown,Kiki,White Brown
141,shelter_or_rescue,Brown Tabby,White,Bruce,Brown Tabby White
142,shelter_or_rescue,Brown Tabby,White,Simone ,Brown Tabby White
143,shelter_or_rescue,Brown Tabby,,Fiona,Brown Tabby 
144,shelter_or_rescue,Orange Tabby,White,Toulouse,Orange Tabby White
145,shelter_or_rescue,Brown Tabby,White,Sarah,Brown Tabby White
146,shelter_or_rescue,Grey Tabby,,Kitty,Grey Tabby 
147,shelter_or_rescue,Tortoiseshell,,Tori,Tortoiseshell 
148,shelter_or_rescue,Brown Tabby,,Nacho,Brown Tabby 
