,family,name,acquired_from,age,color,weight,socialness,intelligence,activity_level,vocalization
136,74,Bitty,friend_or_relative,Junior ,"Part orange tabby, part calico",9,8,8,7,5
137,75,Sinatra,friend_or_relative,Adult ,Classic tuxedo black and white,15,4,8,4,10
138,76,Artemis,friend_or_relative,Mature ,Classic tuxedo black and white,11,2,8,3,7
139,76,Zefram,friend_or_relative,Mature ,Solid black,12,7,1,3,1
140,77,Sylvester,friend_or_relative,Adult ,Classic tuxedo black and white,8,8,6,8,10
141,78,Shelly,breeder,Adult ,Seal point,5,10,7,6,1
142,77,Mittens,friend_or_relative,Adult ,Classic tuxedo black and white,8,5,5,7,8
143,77,Scooter,stray,Junior ,Cinnamon,7,3,9,5,9
144,79,Shadow,friend_or_relative,Adult ,Gray tabby/gray tabby with white,15,3,8,5,8
145,36,Purrcy,shelter_or_rescue,Kitten ,Classic tuxedo black and white,3,5,5,8,3
146,80,Vivy,shelter_or_rescue,Mature ,Gray tabby/gray tabby with white,9,7,9,6,2
147,80,Maisie,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,13,2,9,7,7
148,80,Taylor,stray,Junior ,Orange tabby/orange tabby with white,11,10,5,10,10
149,81,Jasmine,shelter_or_rescue,Kitten ,Solid black,12,2,8,3,2
150,80,Tess,stray,Junior ,Calico,9,2,9,8,5
151,82,Poppy Cat,cat_cafe,Adult ,Brown tabby/brown tabby with white,11,4,8,5,10
152,83, J C JIMMY,friend_or_relative,Adult ,Tortoiseshell,12,3,7,4,2
153,84,Miracle,friend_or_relative,Super Senior ,Tortoiseshell,6,4,8,8,10
154,85,Giovanni,shelter_or_rescue,Adult ,Solid gray,12,10,6,5,8
155,86,Murphy,stray,Super Senior ,Orange tabby/orange tabby with white,11,6,5,5,8
156,85,Felix,stray,Junior ,Chocolate tabby point Siamese ,10,10,9,10,10
157,84,Penelope,friend_or_relative,Junior ,Tortoiseshell,6,10,7,10,6
158,86,Stella,stray,Senior ,Tortoiseshell,13,2,2,2,4
159,86,Inka,stray,Senior ,Solid black,10,9,6,8,9
160,86,Oscar,stray,Mature ,Solid black,13,9,7,9,8
161,87,Kimmie,friend_or_relative,Senior ,Brown tabby/brown tabby with white,6,1,7,3,8
162,86,Rosie,stray,Mature ,Classic tuxedo black and white,10,7,9,9,9
163,88,Faux Paw,shelter_or_rescue,Mature ,Solid gray,8,3,8,4,5
164,86,Merlin,stray,Mature ,Brown tabby/brown tabby with white,14,8,9,3,7
165,86,Charlotte,friend_or_relative,Adult ,Tortoiseshell,12,4,4,3,7
166,88,Rigatoni,cat_cafe,Junior ,Orange tabby/orange tabby with white,11,9,2,6,6
